Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
248291,Nurmahal,9807,4,Nurmahal (M Cl) - Ward No.4,
248281,Bhulath,9323,6,Bhulath (NP) - Ward No.6,
248334,Khanna,74564,13,Khanna (M CI) - Ward No.13,
248351,Firozpur,12742,21,Firozpur (M Cl) - Ward No.21,
248364,Goniana,13688,6,Goniana (M Cl) - Ward No.6,
248355,Abohar,12771,10,Abohar (M Cl) - Ward No.10,
248291,Nurmahal,9806,3,Nurmahal (M Cl) - Ward No.3,
248334,Khanna,74567,16,Khanna (M CI) - Ward No.16,
248347,Moga,12026,18,Moga (M Cl) - Ward No.18,
248264,Batala,9000,41,Bawali Inderjit (OG) - Ward No.41,
248381,Dhanaula,13904,12,Dhanaula (M Cl) - Ward No.12,
248395,Patran,72950,1,Patran (NP) - Ward No.1,
248398,Sanaur,15036,9,Sanaur (M Cl) - Ward No.9,
248384,Dhuri,13931,11,Dhuri (M Cl) - Ward No.11,
248331,Khamanon,10510,7,Khamanon (NP) - Ward No.7,
248256,Pathankot,8883,2,Pathankot (M Cl) - Ward No.2,
248399,Patiala,15365,29,Patiala (M Corp.) - Ward No.29,
276562,BHAGTA BHAI KA NAGAR PANCHAYAT,2141980,4,Ward No. 4,
248390,Sunam,14015,18,Sunam (M Cl) - Ward No.18,
248398,Sanaur,15030,3,Sanaur (M Cl) - Ward No.3,
248370,Raman,74730,11,Raman (M Cl) - Ward No.11,
248265,Sri Hargobindpur,9021,7,Sri Hargobindpur (M Cl) - Ward No.7,
248396,Samana,15019,9,Samana (M Cl) - Ward No.9,
248351,Firozpur,12732,11,Firozpur (M Cl) - Ward No.11,
248386,Sangrur,13963,11,Sangrur (M Cl) - Ward No.11,
248296,Jalandhar,9982,31,Jalandhar (M Corp.) - Ward No.31,
248299,Kartarpur,10233,12,Kartarpur (M Cl) - Ward No.12,
248340,Mullanpur Dakha,10648,3,Mullanpur Dakha (NP) - Ward No.3,
248306,Hariana,10267,2,Hariana (M Cl) - Ward No.2,
248321,Kurali,10439,7,Kurali (M Cl) - Ward No.7,
248332,Samrala,10522,8,Samrala (M CI) - Ward No.8,
248269,Ajnala,9054,1,Ajnala (NP) - Ward No.1,
248389,Dirba,72940,4,Dirba (NP) - Ward No.4,
248354,Fazilka,74659,18,Fazilka (M Cl) - Ward No.18,
248281,Bhulath,9325,8,Bhulath (NP) - Ward No.8,
248298,Bhogpur,10011,1,Bhogpur (NP) - Ward No.1,
248277,Patti,9307,6,Patti (M Cl) - Ward No.6,
248355,Abohar,12782,21,Abohar (M Cl) - Ward No.21,
248378,Barnala,72908,24,Unreserved-Ward No.24,
277203,LALRU,2141104,1,Ward No.1,
248265,Sri Hargobindpur,9016,2,Sri Hargobindpur (M Cl) - Ward No.2,
260778,LEHRA MOHABAT,2141855,2,Ward No.2,
248393,Khanauri,14991,3,Khanauri (NP) - Ward No.3,
260771,MEHRAJ,2141835,2,Ward No.2,
248347,Moga,12037,29,Moga (M Cl) - Ward No.29,
248407,Zirakpur,15449,5,Zirakpur (NP) - Ward No.5,
248363,Rampura Phul,13664,2,Rampura Phul (M Cl) - Ward No.2,
248369,Kot Fatta,74714,6,Kot Fatta (M Cl) - Ward No.6,
248354,Fazilka,74651,10,Fazilka (M Cl) - Ward No.10,
248306,Hariana,10271,6,Hariana (M Cl) - Ward No.6,
248273,Amritsar,9151,54,Amritsar (M Corp.) - Ward No.54,
248280,Begowal,74397,4,Begowal (NP) - Ward No.4,
248289,Nakodar,9791,3,Nakodar (M Cl) - Ward No.3,
248351,Firozpur,12741,20,Firozpur (M Cl) - Ward No.20,
248350,Talwandi Bhai,12059,5,Talwandi Bhai (M Cl) - Ward No.5,
248350,Talwandi Bhai,12061,7,Talwandi Bhai (M Cl) - Ward No.7,
248327,Bassi Pathana,10469,6,Bassi Pathana (M Cl) - Ward No.6,
248320,Morinda,74485,6,Morinda (M Cl) - Ward No.6,
248361,Kot Kapura,13260,17,Kot Kapura (M Cl) - Ward No.17,
248313,Nawanshahr,10357,3,Nawanshahr (M Cl) - Ward No.3,
248378,Barnala,72890,6,Unreserved-Ward No.06,
248367,Bathinda,74706,33,Bathinda (M Cl) - Ward No.33,
248367,Bathinda,74689,16,Bathinda (M Cl) - Ward No.16,
248296,Jalandhar,9999,48,Jalandhar (M Corp.) - Ward No.48,
248308,Hoshiarpur,10304,27,Hoshiarpur (M Cl) - Ward No.27,
248272,Jandiala Guru,74356,11,Jandiala (M Cl) - Ward No.11,
248256,Pathankot,8896,15,Pathankot (M Cl) - Ward No.15,
248405,Dera Bassi,15439,9,Dera Bassi (M Cl) - Ward No.9,
248384,Dhuri,13928,8,Dhuri (M Cl) - Ward No.8,
248296,Jalandhar,9997,46,Jalandhar (M Corp.) - Ward No.46,
248292,Goraya,74434,5,Goraya (NP) - Ward No.5,
248273,Amritsar,9167,70,Chand Avenue (OG) - Ward No.70,
260778,LEHRA MOHABAT,2141854,1,Ward No.1,
248260,Gurdaspur,74302,15,Gurdaspur (M Cl) - Ward No.15,
248360,Faridkot,13229,8,Faridkot (M Cl) - Ward No.8,
248382,Ahmedgarh,13917,12,Ahmedgarh (M Cl) - Ward No.12,
248301,Gardhiwala,74445,3,Gardhiwala (M Cl) - Ward No.3,
