S.No.,Local Body Code,Local Body Version,Local Body Name      (In English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Parent Local Body Code,
10917,132368,1,KALGAON,??????,3,Village Panchayat,4110,
10918,148839,1,KALHARI,KALHARI,3,Village Panchayat,4343,
10919,142002,1,Kalhera,?????,3,Village Panchayat,4253,
10920,137933,1,KALIBAVDI,?????????,3,Village Panchayat,4191,
10921,141187,2,KALIBEL,???????,3,Village Panchayat,4240,
10922,140149,1,KALI BILLOD,???????????,3,Village Panchayat,4225,
10923,141374,2,KALIDEVI,????????,3,Village Panchayat,4243,
10924,141309,4,KALIGHATI,KALIGHATI,3,Village Panchayat,4242,
10925,141042,1,KALIIYAWAV,?????????,3,Village Panchayat,4237,
10926,146017,1,KALIKHEDA,KALIKHEDA,3,Village Panchayat,4308,
10927,140314,1,KALIKIRAY,?????????,3,Village Panchayat,4227,
10928,133127,1,KALIKUNDI,??????????,3,Village Panchayat,4122,
10929,132369,1,KALIMATI,????????,3,Village Panchayat,4110,
10930,132668,1,KALIMATI,????????,3,Village Panchayat,4114,
10931,151375,1,KALIPAHADI,?????????,3,Village Panchayat,4375,
10932,151448,1,KALIPHADI,????????? ??.,3,Village Panchayat,4376,
10933,151613,1,KALIPHADI,?????????,3,Village Panchayat,4378,
10934,151449,1,KALIPHADI C,????????? ?.,3,Village Panchayat,4376,
10935,146018,1,KALIPITH,KALIPITH,3,Village Panchayat,4308,
10936,146016,2,KALI TALAI,KALI TALAI,3,Village Panchayat,4308,
10937,153202,1,KALIYADEH,,3,Village Panchayat,4397,
10938,146130,1,KALIYAKHEDI,KALIYAKHEDI,3,Village Panchayat,4309,
10939,138380,3,KALJAKHEDI,???????????,3,Village Panchayat,4200,
10940,140391,1,KALKHALA,?????,3,Village Panchayat,4228,
10941,134395,1,KALKHEDA,,3,Village Panchayat,4141,
10942,135318,1,KALKOTI,,3,Village Panchayat,4154,
10943,153427,2,KALLAPIPALYA,,3,Village Panchayat,4399,
10944,141089,1,KALLIPURA,?????????,3,Village Panchayat,4238,
10945,137174,1,KALLUKHEDI,?????????,3,Village Panchayat,4178,
10946,137175,1,KALMA,????,3,Village Panchayat,4178,
10947,137364,1,KALMANI,KALMANI,3,Village Panchayat,4181,
10948,140150,1,KALMER,?????,3,Village Panchayat,4225,
10949,140061,1,KALMESHRA,KALMESHRA,3,Village Panchayat,4224,
10950,133281,3,KALMESHWARA,??????????,3,Village Panchayat,4124,
10951,137365,1,KALMI,KALMI,3,Village Panchayat,4181,
10952,151075,2,KALMIKAKRDHA,?????????,3,Village Panchayat,4371,
10953,141375,2,KALMODA,???????,3,Village Panchayat,4243,
10954,146585,1,KALMODA,??????,3,Village Panchayat,4315,
10955,138560,1,KALMUKHI,???????,3,Village Panchayat,4203,
10956,138842,2,KALORA,?????,3,Village Panchayat,4207,
