Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
248533,Jind,16699,24,Jind (M Cl ) - Ward No.24,
248541,Sirsa,16787,3,Sirsa (M Cl ) - Ward No.3,
248537,Tohana,1302051,21,Tohana (MC) - Ward No.21,
248557,Rohtak,16948,1,Rohtak (M Cl ) - Ward No.1,
248545,Barwala,16857,1,Barwala (MC) - Ward No.1,
248543,Ellenabad,16836,6,Ellenabad (MC) - Ward No.6,
248534,Julana,16717,11,Julana (MC) - Ward No.11,
248531,Narwana,1302058,22,Narwana (MC) - Ward No.22,
248569,Rewari,17866,23,Rewari (M Cl ) - Ward No.23,
248576,Gurugram,64221,18,Gurgaon (M Cl ) - Ward No.18,
248557,Rohtak,16955,8,Rohtak (M Cl ) - Ward No.8,
272866,Barara,1302194,5,Barara (MC) - Ward No. 5,
248580,Taoru,1302259,15,Ward No.15,
248513,Pundri,25290,7,Pundri (MC) - Ward No.7,
248585,Faridabad,1302366,39,Ward No.39,
248509,Ladwa,64866,10,Ladwa (MC) - Ward No.10,
248558,Beri,16980,1,Beri (MC) - Ward No.1,
248515,Taraori,25313,12,Taraori (MC) - Ward No.12,
248589,Hodal,18064,1,Hodal (MC) - Ward No.1,
289252,BASS,1302384,5,Ward No. 5,
248560,Bahadurgarh,16998,6,Bahadurgarh (M Cl ) - Ward No.6,
248550,Bhiwani,64115,7,Bhiwani (M Cl ) - Ward No.7,
248531,Narwana,16661,3,Narwana (MC) - Ward No.3,
290431,Ambala Sadar,2111487,4,Ward No. 4,
248563,Kanina,17039,3,Kanina (MC) - Ward No.3,
248548,Hansi,64092,7,Hansi (M Cl) - Ward No.7,
248589,Hodal,18072,9,Hodal (MC) - Ward No.9,
248521,Panipat,63997,21,Panipat (M Cl ) - Ward No.21,
248519,Assandh,16388,4,Assandh (MC) - Ward No.4,
248568,Dharuhera,17087,6,Dharuhera (CT) - Ward No.6,
248507,Pehowa,1302089,16,Pehowa (MC) - Ward No. 16,
