Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
249807,Resubelpara,2531,7,Dilma A Pal - Ward No.7,
249808,Williamnagar,1299533,11,Williamnagar (MB) - Ward No.11,
249820,Jowai,71065,1,Ladthalaboh East - Ward No.1,
249810,Nongstoin,2890,12,Nongstoin (TC) - Ward No.12,
249814,Shillong,3346,10,Jail Road - Ward No.10,
249814,Shillong,3354,18,S.E. Mawkhar - Ward No.18,
249809,Baghmara,2601,5,Malikona - Ward No.5,
249809,Baghmara,2605,9,Rangdokram - Ward No.9,
249812,Nongpoh,1298489,21,Pahambirlum Lum,
249814,Shillong,3363,27,Lumparing - Ward No.27,
249809,Baghmara,2597,1,Wagesik - Ward No.1,
249807,Resubelpara,2530,6,Bangalmura - Ward No.6,
249811,Mairang,1298502,12,Mairangbah,
249820,Jowai,71075,11,Iongpiah - Ward No.11,
249811,Mairang,1298496,6,Lumiew B,
249810,Nongstoin,2884,6,Nongstoin (TC) - Ward No.6,
249812,Nongpoh,1298483,15,Iewmawlong,
249814,Shillong,3343,7,Europeon Ward - Ward No.7,
279714,Khliehriat,1298466,2,Dkhiah - East,
249809,Baghmara,2606,10,Dabitbibra - Ward No.10,
249812,Nongpoh,1298470,2,Pahamrioh Lum,
282009,Mawkyrwat,1299537,3,Mawlangwir - Ward No.3,
249810,Nongstoin,2891,13,Nongstoin (TC) - Ward No.13,
249810,Nongstoin,2879,1,Nongstoin (TC) - Ward No.1,
249812,Nongpoh,1298479,11,Pahamsyiem,
249820,Jowai,71068,4,Mynthong - Ward No.4,
282009,Mawkyrwat,1299536,2,Mawten - Ward No.2,
249810,Nongstoin,2887,9,Nongstoin (TC) - Ward No.9,
,,,,,
,,,,,
