Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
276217,East Dimapur Town Council,1269697,2,East Dimapur (TC) - Ward No.2 MODEL WARD,
276223,Noklak Town Council,1269719,4,Noklak Town (TC) - Ward No.4 PUNYAONGAN WARD,
249719,Wokha Town Council,72990,4,Wokha (TC) - Ward No.4 VANA-ERHOMO (SUREN) WARD,
249719,Wokha Town Council,71547,9,Wokha (TC) - Ward No.9 PROJECT WARD,
253205,Jalukie Town Council,2297400,6,Jalukie Town (TC) - Ward No. 6 KELEILWA COLONY WARD,
276217,East Dimapur Town Council,1269702,7,East Dimapur (TC) - Ward No.7 MIDDLE WARD,
249717,Mokokchung,15583,5,Mokokchung (TC) - Ward No.5 AONGZA WARD,
249715,Mon Town Council,15569,6,Mon Town (TC) - Ward No.6 TECHAHAN,
253203,Naginimora Town Council,2297429,6,Naginimora Town (TC) - Ward No. 6 KANG WARD,
253210,Pfutsero Town,2297447,6,Pfutsero Town (TC) - Ward No.6 P.W.D. COLONY WARD,
276227,Tizit Town Council,1269661,2,Tizit Town (TC) - Ward No.2 SOALEM WARD,
249719,Wokha Town Council,71551,13,Wokha (TC) - Ward No.13 GHS/MOLUNSU WARD,
249721,Chumukedima Town Council,71574,11,Chumukedima (CT) - Ward No.11 CHARA WARD,
249720,Dimapur Municipal Council,15627,20,Dimapur (TC) - Ward No.20,
249720,Dimapur Municipal Council,15621,14,Dimapur (TC) - Ward No.14,
276225,Shamator Town Council,1269735,2,Shamator Town (TC) - Ward No.2 PWD WARD,
249717,Mokokchung,15592,10,Mokokchung (TC) - Ward No.10 SUNGKOMEN WARD,
253206,Tuli Town,2297468,7,Tuli Town (TC) - Ward No.7 PATIZUNG WARD,
276219,Bhandari Town Council,1269679,2,Bhandari Town (TC) - Ward No.2 MERITCHU WARD,
249717,Mokokchung,15593,11,Mokokchung (TC) - Ward No.11 SANGTEMLA WARD,
249718,Zunheboto,15602,5,Zunheboto (TC) - Ward No.5 ALAHUTO WARD,
276222,Meluri Town Council,1269776,5,Meluri Town (TC) - Ward No.5 KHRUMDHO WARD,
249723,Phek,11823,6,Phek (TC) - Ward No.6 BETHANY-II,
253206,Tuli Town,2297470,9,Tuli Town (TC) - Ward No.9 LONGLILENDEN WARD,
249716,Tuensang Town Council,15581,12,Tuensang (TC) - Ward No.12 POST OFFICE WARD,
253201,Longleng Town Council,2320553,5,Longleng town (TC) - Ward No.5AGRI WARD,
249722,Kohima,695124,4,NAGA BAZAR WARD,
253201,Longleng Town Council,2320559,11,Longleng town (TC) - Ward No.11 LEINAK WARD,
276226,Tening Town Council,1269754,1,Tening Town (TC) - Ward No.1 NSUANG NPAI WARD,
276228,Tobu Town Council,1269751,8,Tobu Town (TC) - Ward No.8 SHAMNYAK WARD,
249717,Mokokchung,15595,13,Mokokchung (TC) - Ward No.13 PENLI WARD,
276225,Shamator Town Council,1269737,4,Shamator Town (TC) - Ward No.4 VETERINARY WARD,
249718,Zunheboto,15601,4,Zunheboto (TC) - Ward No.4 OLD TOWN WARD,
253205,Jalukie Town Council,2297396,2,Jalukie Town (TC) - Ward No. 2 VETERINARY COLONY WARD,
249718,Zunheboto,15606,9,Zunheboto (TC) - Ward No.9 D.C. HILL EAST WARD,
253202,Kiphire Town Council,2297412,9,Kiphire Town (TC) - Ward No. 9 KIPONGYA COLONY WARD,
249718,Zunheboto,15603,6,Zunheboto (TC) - Ward No.6 NEW COLONY WARD,
276221,Mangkolemba Town Council,1269712,6,Mangkolemba Town (TC) - Ward No.6 MANGKO WARD,
276224,Pungro Town Council,1269728,4,Pungro Town (TC) - Ward No.4 OLD BAZAAR WARD,
249718,Zunheboto,15599,2,Zunheboto (TC) - Ward No.2 KHUWOBOTO WARD,
249722,Kohima,695129,9,MIDLANE WARD,
276228,Tobu Town Council,1269752,9,Tobu Town (TC) - Ward No.9 OLD MEDICAL WARD,
249717,Mokokchung,15585,7,Mokokchung (TC) - Ward No.7 KUMLONG WARD,
253206,Tuli Town,2297463,2,Tuli Town (TC) - Ward No.2 LOKONGMENDANG WARD,
