Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name
249564,Bettiah,35570,15,Bettiah (M) - Ward No.15
249600,Darbhanga,35928,11,Darbhanga (M Corp.) - Ward No.11
249649,Khagaul,36408,13,Khagaul (M) - Ward No.13
249654,Khusrupur,36598,2,Khusrupur (NP) - Ward No.2
249652,Masaurhi,36480,16,Masaurhi (M) - Ward No.16
276642,Benipur,1298065,25,Benipur (M) - Ward No. 25
249619,Samastipur,36160,8,Samastipur (M) - Ward No.8
249561,Narkatiaganj,1299045,14,Narkatiaganj (NP) - Ward No.14
249669,Nokha,36705,6,Nokha (NP) - Ward No.6
249629,Sultanganj,5949,16,Sultanganj (NP) - Ward No.16
249619,Samastipur,1299212,17,Samastipur (M) - Ward No.17
249592,Purnea,1299416,43,Purnia (M Corp.) - Ward No.43
249606,Gopalganj,1298267,25,Gopalganj (M) - Ward No.26
277129,Bakhri,1298311,2,Bakhri (NP) - Ward No.02
249627,Naugachhia,59437,1,Naugachhia (NP) - Ward No.1
249562,Bagaha,35540,12,Bagaha (M) - Ward No.12
249670,Sasaram,1298163,27,Sasaram (M) - Ward No.27
249593,Kasba,1299430,17,Kasba (NP) - Ward No.17
249685,Warisaliganj,2811,17,Warisaliganj (NP) - Ward No.17
249618,Mahnar,36141,4,Mahnar Bazar (M) - Ward No.4
249645,Rajgir,6356,9,Rajgir (NP) - Ward No.9
249573,Bairgania,1298999,15,Bairgania (NP) - Ward No.15
249567,Dhaka,1307122,22,Dhaka (NP) - Ward No.22
249641,Sheikhpura,1299267,24,Sheikhpura (M) - Ward No.24
249662,Jagdishpur,36651,7,Jagdishpur (NP) - Ward No.7
249599,Saharsa,59362,8,Saharsa (M) - Ward No.8
249593,Kasba,35879,1,Kasba (NP) - Ward No.1
249573,Bairgania,1299004,20,Bairgania (NP) - Ward No.20
249678,Nabinagar,36826,8,Nabinagar (NP) - Ward No.8
249612,Chapra,36052,5,Chapra (M Corp.) - Ward No.5
249590,Kishanganj,35836,29,Kishanganj (M) - Ward No.29
276405,KOCHAS,1298724,1,Kochas (NP) - Ward No.1
249565,Raxaul,1298291,23,Raxaul Bazar (M) - Ward No.23
249652,Masaurhi,1298604,26,Masaurhi (M) - Ward No.26
277133,Banmankhi,1298034,11,Banmankhi (NP) - Ward No. 11
249612,Chapra,36051,4,Chapra (M Corp.) - Ward No.4
249577,Janakpur Road,62532,9,Janakpur Road (NP) - Ward No.9
249598,Murliganj,1298133,12,Murliganj (NP) - Ward No.12
249653,Fatuha,36487,6,Fatwah (M) - Ward No.6
249680,Gaya,1298811,53,Gaya (M Corp.) - Ward No.53
277129,Bakhri,1298329,20,Bakhri (NP) - Ward No.20
249573,Bairgania,35645,11,Bairgania (NP) - Ward No.11
249652,Masaurhi,36470,6,Masaurhi (M) - Ward No.6
277128,Mehsi,1299132,11,Mehshi (NP) - Ward No.11
249630,Bhagalpur,71489,43,Bhagalpur (M Corp.) - Ward No.43
249621,Dalsinghsarai,1298077,13,Dalsinghsarai (NP) - Ward No.13
249684,Nawada,36867,8,Nawada (M) - Ward No.8
276643,Bihat,1298237,21,Bihat (M) - Ward No.21
249586,Forbesganj,35766,6,Forbesganj (M) - Ward No.6
249683,Bodh Gaya,36856,16,Bodh Gaya (NP) - Ward No.16
249573,Bairgania,1298997,13,Bairgania (NP) - Ward No.13
249626,Gogri Jamalpur,1299340,19,Gogri Jamalpur (NP) - Ward No.19
249600,Darbhanga,35951,34,Darbhanga (M Corp.) - Ward No.34
249662,Jagdishpur,1298770,13,Jagdishpur (NP)- Ward No.13
277131,Barauli,1298985,20,Barauli (NP) - Ward No.20
249660,Koilwar,36641,9,Koilwar (NP) - Ward No.9
249644,Islampur,59558,13,Islampur (NP) - Ward No.13
249634,Munger,36281,25,Munger (M Corp.) - Ward No.25
249588,Thakurganj,35802,10,Thakurganj (NP) - Ward No.10
249597,Madhepura,35908,12,Madhepura (M) - Ward No.12
277128,Mehsi,1299129,8,Mehshi (NP) - Ward No.8
249561,Narkatiaganj,1299056,25,Narkatiaganj (NP) - Ward No.25
249562,Bagaha,1299032,29,Bagaha (M) - Ward No.29
249572,Sheohar,71087,14,Sheohar (NP) - Ward No.14
249650,Patna,36422,12,Patna (M Corp.) - Ward No.12
290025,Aurangabad,1306676,3,Ward No.3
