Local Body Code,Local Body Name,Local Body Type,District Level Parent Name,Intermediate Level Parent Name,Ward Code,Ward Number,Ward Name,Ward Name (In Local),
234469,LAXMIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452147,3,Milangram-3,
234469,LAXMIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452148,4,Milangram-4,
234469,LAXMIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452149,5,Laxmipur-1,
234469,LAXMIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452150,6,Laxmipur-2,
234469,LAXMIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452151,7,Laxmipur-3,
234469,LAXMIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452152,8,Laxmipur-4,
234470,MADHUPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452224,1,Madhupur-1,
234470,MADHUPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452225,2,Madhupur-2,
234470,MADHUPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452226,3,Madhupur-3,
234470,MADHUPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452227,4,Madhupur-4,
234470,MADHUPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452228,5,Madhupur-5,
234470,MADHUPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452229,6,Madhupur-6,
234470,MADHUPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452230,7,Madhupur-7,
234470,MADHUPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452231,8,Rabindrapally,
234470,MADHUPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452232,9,Deshbandhugram-1,
234470,MADHUPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452233,10,Deshbandhugram-2,
234470,MADHUPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452234,11,Deshbandhugram-3,
234471,NABAGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452235,1,Nabagram-1,
234471,NABAGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452236,2,Nabagram-2,
234471,NABAGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452237,3,Nabagram-3,
234471,NABAGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452238,4,Nabagram-4,
234471,NABAGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452239,5,Nabagram-5,
234471,NABAGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452240,6,Nabagram-6,
234471,NABAGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452241,7,Madhyamgram,
234471,NABAGRAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452242,8,Nischintapur,
245695,PASCHIM SAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452243,1,Paschimsagar-1,
245695,PASCHIM SAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452244,2,Paschimsagar-2,
245695,PASCHIM SAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452245,3,Paschimsagar-3,
245695,PASCHIM SAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452246,4,Paschimsagar-4,
245695,PASCHIM SAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452247,5,Paschimsagar-5,
245695,PASCHIM SAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452248,6,Paschimsagar-6,
245695,PASCHIM SAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452249,7,Paschimsagar-7,
245695,PASCHIM SAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452250,8,Paschimsagar-8,
234473,RADHANAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452137,1,Shyamnagar-1,
234473,RADHANAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452138,2,Shyamnagar-2,
234473,RADHANAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452139,3,Radhanagar-1,
234473,RADHANAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452140,4,Radhanagar-2,
234473,RADHANAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452141,5,Swarajgram-1,
234473,RADHANAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452142,6,Swarajgram-2,
234473,RADHANAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452143,7,Swarajgram-3,
234473,RADHANAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452144,8,Swarajgram-4,
234474,RAMNAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452251,1,Ramnagar-1,
234474,RAMNAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452252,2,Ramnagar-2,
234474,RAMNAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452253,3,Ramnagar-3,
234474,RAMNAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452254,4,Ramnagar-4,
234474,RAMNAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452255,5,Ramnagar-5,
234474,RAMNAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452256,6,Ramnagar-6,
234474,RAMNAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452257,7,Ramnagar-7,
