Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
248241,Nalagarh,11573,2,Nalagarh (M Cl) - Ward No.2,
276639,Tahliwal,1297026,5,Tahliwal (NP) - Ward No.5,
248237,Talai,68142,6,Talai (NP) - Ward No.6,
276625,Karsog,1297082,3,Karsog (NP) - Ward No.3,
248043,Nahan,11616,7,Nahan (M Cl) - Ward No.7,
248217,Palampur,2513089,11,Rajpur,
248227,Tira Sujanpur,11483,7,Tira Sujanpur (NP) - Ward No.7,
248241,Nalagarh,11578,7,Nalagarh (M Cl) - Ward No.7,
248045,Paonta Sahib,68158,6,Paonta Sahib (M Cl) - Ward No.6,
297015,Shahpur,2513273,2,Hara,
248046,Chamba,11273,4,Chamba (M Cl) - Ward No.4,
276626,Dehra,1297041,4,Dehra (M Cl) - Ward No.4,
248221,Banjar,68097,2,Banjar (NP) - Ward No.2,
248214,Nagrota Bagwan,68088,2,Nagrota Bagwan (NP) - Ward No.2,
248252,Kotkhai,8857,3,Kotkhai (NP) - Ward No.3,
248227,Tira Sujanpur,11485,9,Tira Sujanpur (NP) - Ward No.9,
248231,Daulatpur,11509,6,Daulatpur (NP) - Ward No.6,
248216,Jawalamukhi,11417,7,Jawalamukhi (NP) - Ward No.7,
248245,Rampur,11626,4,Rampur (M Cl) - Ward No.4,
276626,Dehra,1297038,1,Dehra (M Cl) - Ward No.1,
248248,Shimla,68542,20,Shimla (M Corp.) - Ward No.20,
248248,Shimla,68526,4,Shimla (M Corp.) - Ward No.4,
248240,Arki,11571,7,Arki (NP) - Ward No.7,
248235,Santokhgarh,11544,7,Santokhgarh (NP) - Ward No.7,
248046,Chamba,11271,2,Chamba (M Cl) - Ward No.2,
248226,Rawalsar,68120,5,Rawalsar (NP) - Ward No.5,
248224,Sundernagar,68113,11,Sundarnagar (M Cl) - Ward No.11,
248236,Ghumarwin,68136,7,Ghumarwin (NP) - Ward No.7,
248043,Nahan,11620,11,Nahan (M Cl) - Ward No.11,
248210,Nurpur,11288,8,Nurpur (M Cl) - Ward No.8,
248243,Parwanoo,11588,8,Parwanoo (M Cl) - Ward No.8,
297010,Kandaghat,2513198,2,Himuda,
248245,Rampur,1296881,9,Rampur (M Cl) - Ward No.9,
248244,Solan,11599,10,Chaunri Ghati,
248233,Una,11527,10,Una (M Cl) - Ward No.10,
