Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
276592,Municipal Council Rajouri,2244138,9,Rajouri (MC) - Ward No.9,
248149,Municipal Council Sopore,67904,8,Sopore (MC) - Ward No.8,
276589,Municipal Committee Ramnagar,1293674,3,Ramnagar (MC) - Ward No.3,
253142,Municipal Committee Surankote,1746,2,Surankote (MC) -Ward No.2,
248037,Municipal Council Ramban,68006,2,Ramban (MC) - Ward No.2,
248202,Municipal Council Samba,68060,2,Samba (MC) - Ward No.2,
248169,Municipal Committee Bijbehara,2243103,14,Bijbehara (MC) - Ward No.14,
276581,Municipal Council Kathua,2244070,13,Kathua (MC) - Ward No.13,
248038,Municipal Council Doda,2243998,14,Doda (MC) - Ward No.14,
248157,Municipal Committee Magam,10084,7,Magam (MC) - Ward No.7,
276588,Municipal Committee Chenani,2244039,2,Chenani (MC) - Ward No.2,
276593,Municipal Committee Nowshera,2244223,7,Nowshera (MC) - Ward No.7,
248201,Municipal Committee Vijaypur,1293589,12,Vijaypur (MC) - Ward No.12,
248194,Jammu Municipal Corporation,11019,12,Jammu (MC) - Ward No.12,
248171,Municipal Council Anantnag,2243368,14,Anantnag (MC) - Ward No.14,
248156,Srinagar Municipal Corporation,2243618,56,Srinagar (MC) - Ward No.56,
248037,Municipal Council Ramban,68010,6,Ramban (MC) - Ward No.6,
248171,Municipal Council Anantnag,10747,12,Anantnag (MC) - Ward No.12,
248042,Municipal Council Poonch,68035,7,Poonch (MC) - Ward No.7,
253136,Municipal Committee Chadoora,2242954,13,Chadoora (MC) - Ward No.13,
248193,Municipal Committee Khour,2243959,12,Khour (MC) - Ward No.12,
248148,Municipal Committee Sumbal,9742,2,Sumbal (MC) - Ward No.2,
254926,Municipal Committee Thathri,120895,2,Thathri (MC) - Ward No.2,
248174,Municipal Council Kulgam,10805,11,Kulgam (MC) - Ward No.11,
248147,Municipal Committee Hajin,9735,6,Hajin (MC) - Ward No.6,
276594,Municipal Committee Hiranagar,1293723,13,Hiranagar (MC) - Ward No. 13,
248164,Municipal Committee Tral,2243130,9,Tral (MC) - Ward No.9,
248152,Municipal Committee Uri,2241480,7,Uri (MC) - Ward No.7,
248155,Municipal Council Ganderbal,2243051,16,Ganderbal (MC) - Ward No.16,
248155,Municipal Council Ganderbal,67983,1,Ganderbal (MC) - Ward No.1,
248156,Srinagar Municipal Corporation,2243625,63,Srinagar (MC) - Ward No.63,
253136,Municipal Committee Chadoora,2242949,8,Chadoora (MC) - Ward No.8,
248156,Srinagar Municipal Corporation,2243626,64,Srinagar (MC) - Ward No.64,
248196,Municipal Committee R S Pura,11173,9,R S Pura (MC) - Ward No.9,
248187,Municipal Committee Thanamandi,2244117,1,Thanamandi (MC) - Ward No.1,
248170,Municipal Committee Mattan,10733,10,Mattan (MC) - Ward No.10,
248156,Srinagar Municipal Corporation,2243596,47,Srinagar (MC) - Ward No.47,
248139,Municipal Committee Langate,2241439,13,Langate (MC) - Ward No. 13,
276591,Municipal Committee Katra,2244047,3,Katra (MC) - Ward No.3,
248148,Municipal Committee Sumbal,9748,8,Sumbal (MC) - Ward No.8,
248146,Municipal Council Bandipora,9717,5,Bandipora (MC) - Ward No.5,
276590,Municipal Council Reasi,1293700,3,Reasi (MC) Ward No.3,
248139,Municipal Committee Langate,2241430,4,Langate (MC) - Ward No. 4,
248162,Municipal Committee Pampore,2243113,13,Pampore (MC) - Ward No.13,
276589,Municipal Committee Ramnagar,1293676,5,Ramnagar (MC) - Ward No.5,
248156,Srinagar Municipal Corporation,2243436,36,Srinagar (MC) - Ward No.36,
248151,Municipal Council Baramulla,67971,9,Baramulla (MC) - Ward No.9,
248155,Municipal Council Ganderbal,67987,5,Ganderbal (MC) - Ward No.5,
248162,Municipal Committee Pampore,10667,2,Pampore (MC) - Ward No.2,
248187,Municipal Committee Thanamandi,2244119,3,Thanamandi (MC) - Ward No.3,
296984,Municipal Committee Kalakote,2244204,6,Kalakote (MC) - Ward No.6,
296985,Municipal Committee Watergam,2241511,1,Watergam (MC) - Ward No.1,
248035,Municipal Committee Handwara,2248963,7,Handwara (MC) - Ward No.7,
248156,Srinagar Municipal Corporation,10075,27,Srinagar (MC) - Ward No.27,
248199,Municipal Committee Bari Brahmana,11184,3,Bari Brahmana (MC) - Ward No.3,
248151,Municipal Council Baramulla,67981,19,Baramulla (MC) - Ward No.19,
296987,Municipal Committee Devsar,2241557,4,Devsar (MC) - Ward No.4,
248162,Municipal Committee Pampore,10671,6,Pampore (MC) - Ward No.6,
248042,Municipal Council Poonch,68033,5,Poonch (MC) - Ward No.5,
248164,Municipal Committee Tral,10695,3,Tral (MC) - Ward No.3,
248035,Municipal Committee Handwara,9706,3,Handwara (MC) - Ward No.3,
248159,Municipal Council Budgam,2243552,5,Budgam (MC) - Ward No.5,
248169,Municipal Committee Bijbehara,10722,8,Bijbehara (MC) - Ward No.8,
248170,Municipal Committee Mattan,2243066,13,Mattan (MC) - Ward No.13,
248164,Municipal Committee Tral,10700,8,Tral (MC) - Ward No.8,
276590,Municipal Council Reasi,1293698,1,Reasi (MC) Ward No.1,
248193,Municipal Committee Khour,68046,2,Khour (MC) - Ward No.2,
248146,Municipal Council Bandipora,9728,16,Bandipora (MC) - Ward No.16,
248190,Municipal Committee Sunderbani,10999,5,Sunderbani (MC) - Ward No.5,
248146,Municipal Council Bandipora,9718,6,Bandipora (MC) - Ward No.6,
276592,Municipal Council Rajouri,2244136,7,Rajouri (MC) - Ward No.7,
248201,Municipal Committee Vijaypur,11196,1,Vijaypur (MC) - Ward No.1,
248158,Municipal Committee Beerwah,10089,1,Beerwah (MC) - Ward No.1,
248034,Municipal Council Kupwara,9697,2,Kupwara (MC) - Ward No.2,
253136,Municipal Committee Chadoora,2242953,12,Chadoora (MC) - Ward No.12,
248202,Municipal Council Samba,68067,9,Samba (MC) - Ward No.9,
276589,Municipal Committee Ramnagar,1293675,4,Ramnagar (MC) - Ward No.4,
248196,Municipal Committee R S Pura,11171,7,R S Pura (MC) - Ward No.7,
248170,Municipal Committee Mattan,10725,2,Mattan (MC) - Ward No.2,
248187,Municipal Committee Thanamandi,2244125,9,Thanamandi (MC) - Ward No.9,
248156,Srinagar Municipal Corporation,2243634,72,Srinagar (MC) - Ward No.72,
248194,Jammu Municipal Corporation,11135,34,Jammu (MC) - Ward No.34,
248202,Municipal Council Samba,2246402,17,Samba (MC) - Ward No.17,
296984,Municipal Committee Kalakote,2244200,2,Kalakote (MC) - Ward No.2,
248146,Municipal Council Bandipora,9725,13,Bandipora (MC) - Ward No.13,
248194,Jammu Municipal Corporation,11018,11,Jammu (MC) - Ward No.11,
248169,Municipal Committee Bijbehara,10719,5,Bijbehara (MC) - Ward No.5,
248204,Municipal Committee Billawar,2241613,6,Billawar (MC) - Ward No.6,
296991,Municipal Committee Seer Hamdan,2242683,11,Seer Hamdan (MC) - Ward No.11,
248193,Municipal Committee Khour,68045,1,Khour (MC) - Ward No.1,
248149,Municipal Council Sopore,67901,4,Sopore (MC) - Ward No.4,
248157,Municipal Committee Magam,10079,2,Magam (MC) - Ward No.2,
248155,Municipal Council Ganderbal,67986,4,Ganderbal (MC) - Ward No.4,
248194,Jammu Municipal Corporation,11152,51,Jammu (MC) - Ward  No.51,
248150,Municipal Committee Pattan,10036,12,Pattan (MC) - Ward No.12,
248040,Municipal Committee Bhaderwah,2244014,12,Bhaderwah (MC) - Ward No.12,
248163,Municipal Committee Khrew,10678,5,Khrew (MC) - Ward No.5,
248150,Municipal Committee Pattan,10027,3,Pattan (MC) - Ward No.3,
276581,Municipal Council Kathua,2244063,6,Kathua (MC) - Ward No.6,
248156,Srinagar Municipal Corporation,10069,21,Srinagar (MC) - Ward No.21,
248198,Municipal Committee Arnia,69720,11,Arnia (MC) - Ward No.11,
248168,Municipal Committee Pahalgam,68003,6,Pahalgam (MC) - Ward No.6,
248190,Municipal Committee Sunderbani,10997,3,Sunderbani (MC) - Ward No.3,
296987,Municipal Committee Devsar,2241558,5,Devsar (MC) - Ward No.5,
248152,Municipal Committee Uri,10041,4,Uri (MC) - Ward No.4,
248194,Jammu Municipal Corporation,11032,25,Jammu (MC) - Ward No.25,
248198,Municipal Committee Arnia,68053,2,Arnia (MC) - Ward No.2,
276585,Municipal Committee Basohli,1293629,12,Basholi (MC) - Ward No.12,
248153,Municipal Committee Kunzer,10046,5,Kunzer (MC) - Ward No.5,
248169,Municipal Committee Bijbehara,2243100,11,Bijbehara (MC) - Ward No.11,
248161,Municipal Committee Chrari Sharief,2243678,6,Chrari Sharief  (MC) - Ward No.6,
248156,Srinagar Municipal Corporation,10073,25,Srinagar (MC) - Ward No.25,
248156,Srinagar Municipal Corporation,2243594,45,Srinagar (MC) - Ward No.45,
248194,Jammu Municipal Corporation,11020,13,Jammu (MC) - Ward No.13,
248194,Jammu Municipal Corporation,11031,24,Jammu (MC) - Ward No.24,
248204,Municipal Committee Billawar,2241617,10,Billawar (MC) - Ward No.10,
248187,Municipal Committee Thanamandi,2244118,2,Thanamandi (MC) - Ward No.2,
248168,Municipal Committee Pahalgam,68001,4,Pahalgam (MC) - Ward No.4,
296991,Municipal Committee Seer Hamdan,2242678,6,Seer Hamdan (MC) - Ward No.6,
248155,Municipal Council Ganderbal,67985,3,Ganderbal (MC) - Ward No.3,
248038,Municipal Council Doda,10887,5,Doda (MC) - Ward No.5,
248036,Municipal Committee Banihal,2244016,7,Banihal (MC) - Ward No.7,
248139,Municipal Committee Langate,2241436,10,Langate (MC) - Ward No. 10,
253142,Municipal Committee Surankote,2244253,6,Surankote (MC) -Ward No.6,
248197,Municipal Committee Bishnah,2243936,11,Bishnah (MC) - Ward No.11,
248146,Municipal Council Bandipora,9724,12,Bandipora (MC) - Ward No.12,
248156,Srinagar Municipal Corporation,2243635,73,Srinagar (MC) - Ward No.73,
248151,Municipal Council Baramulla,67967,5,Baramulla (MC) - Ward No.5,
276592,Municipal Council Rajouri,2244146,17,Rajouri (MC) - Ward No.17,
248194,Jammu Municipal Corporation,11149,48,Jammu (MC) - Ward  No.48,
248196,Municipal Committee R S Pura,11166,2,R S Pura (MC) - Ward No.2,
248041,Municipal Council Kishtwar,10897,8,Kishtwar (MC) - Ward No.8,
248198,Municipal Committee Arnia,68055,4,Arnia (MC) - Ward No.4,
