Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name
272909,Wadakkanchery,1293935,41,Mundathikode Center
259711,Nileshwar,1294314,15,PEROLE
252260,Thiruvananthapuram,2513213,85,PALKULANGARA
252220,Kochi,56215,30,Island South
272891,Ettumanoor,1293871,18,Poovathummoodu
252238,Kottayam,76180,3,PARAMBUZHA - Ward No.3
252261,Neyyattinkara,50312,34,ATHAZHAMANGALAM
252261,Neyyattinkara,50304,26,KRISHNAPURAM
252204,Irinjalakuda,76682,10,Kuzhikattukonam
252220,Kochi,77629,62,Ernakulam South
252256,Paravoor,50026,13,ATTINPURAM
252255,Kollam,56301,52,Tankassery
272906,Cherpulassery,1294513,25,Cheruppulassery Town
252230,Muvattupuzha,76042,1,VAZHAPILLI CENTRAL
252149,Thalassery,56175,34,PUNNOL
252247,Alappuzha,77806,2,Alappuzha (M) - Ward No.2
259707,Karunagappally,1294381,35,ALUMKADAV
252248,Kayamkulam,76614,34,Kayamkulam (M) - Ward No.34
252169,Manjeri,50146,19,ELAMBRA
259711,Nileshwar,1294306,7,SUVARNAVALLY
252159,koyilandy,56278,20,MUTHAMBI
252227,Thrippunithura,1294632,33,VELLIKINAKKAL
259711,Nileshwar,1294312,13,KUNHIPULIKKAL
252238,Kottayam,76211,34,POWER HOUSE - Ward No.34
252247,Alappuzha,77807,3,Alappuzha (M) - Ward No.3
252205,Chalakudy,76703,9,St.Joseph church
252220,Kochi,77614,47,Chalikkavattom
272905,Pattambi,1294440,9,Chorakkunnu
252254,Punalur,1294419,33,TOWN
259711,Nileshwar,1294318,19,KARUVACHERY
252227,Thrippunithura,76000,8,PULIYANNOOR
272885,Panoor,1294146,18,Peringathoor
252169,Manjeri,50153,26,PILAKKAL
252160,Kozhikode,75707,43,Kolathara
252205,Chalakudy,76715,21,Municipal Quarters
252204,Irinjalakuda,76690,18,Chalampadam
252211,Aluva,76783,11,OOMANKUZHITHADAM
272901,Kondotty,1295167,9,Pandikkad
252173,Ponnani,76434,37,THEKKEPURAM
252180,Kunnamkulam,1293769,35,ALATHUR
272891,Ettumanoor,1293863,10,Vettimugal
272883,Kattappana,1293947,11,Kochuthovala North - Ward No. 11
252111,Payyannur,76327,33,THAYINERI WEST
252173,Ponnani,76410,13,KOTTA
252194,Thrissur,75873,32,CHIYARAM SOUTH
252259,Nedumangad,50255,8,TOWN
272880,Harippad,1305425,27,Thulamparambu South
259707,Karunagappally,1294362,16,KANNETTI
