Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
251082,Mansa,38056,3,Mansa (M) - Ward No.3,
251165,Bhavnagar,34850,10,Bhavnagar (M Corp.) - Ward No.10,
276440,Gandhinagar,1301278,6,Gandhinagar (Corporation) Ward No. 6,
251044,Rapar,60006,7,Rapar (M) - Ward No.7,
251067,Vijapur,60036,5,Vijapur Rural (OG) (Part) - Ward No.5,
251121,Jasdan,33592,3,Jasdan (M) - Ward No.3,
251161,Jafrabad,67052,5,Jafrabad (M) - Ward No.5,
253143,Jamraval,33846,1,Kalavad (M) - Ward No.1,
251178,Petlad,35025,8,Petlad (M) - Ward No.8,
251161,Jafrabad,67051,4,Jafrabad (M) - Ward No.4,
251158,Bagasara,67028,2,Bagasara (M) - Ward No.2,
251213,Dabhoi,37001,1,Dabhoi (M) - Ward No.1,
251076,Talod,38036,1,Talod (M) - Ward No.1,
251172,Boriavi,34999,4,Boriavi (M) - Ward No.4,
251062,Chanasma,37689,3,Chanasma (M) - Ward No.3,
277169,Mandvi Kachchh,1301325,4,Mandvi Kuchchh (M) - Ward No.4,
251245,Navsari-Vijalpor,67750,10,Navsari (M) - Ward No.10,
251214,Padra,37008,2,Padra (M) - Ward No.2,
253164,Thara,1296657,6,Thara (M) - Ward No. 6,
251044,Rapar,60004,5,Rapar (M) - Ward No.5,
251199,Dahod,67617,3,Dohad (M) - Ward No.3,
251134,Dhrol,66980,3,Dhrol (M) - Ward No.3,
251114,Surendranagar-Dudhrej-Wadhwan,33512,3,Surendranagar Dudhrej (M) - Ward No.3,
251179,Khambhat,67100,3,Khambhat (M) - Ward No.3,
251120,Rajkot,66932,9,Rajkot (M Corp.) - Ward No.9,
251169,Talaja,34879,7,Talaja (M) - Ward No.7,
251072,Idar,37748,2,Idar (M) - Ward No.2,
253147,Babra,34754,2,Una (M) - Ward No.2,
251089,Viramgam,38113,7,Viramgam (M) - Ward No.7,
251174,Anand,67087,8,Anand (M) - Ward No.8,
251108,Dholka,33487,8,Dholka (M) - Ward No.8,
251045,Bhachau,37285,1,Bhachau (M) - Ward No.1,
251164,Gadhada,34837,4,Gadhada (M) - Ward No.4,
251096,Ahmadabad,1302534,34,"Maktampura, Ahmedabad (M.Corp.) Ward No. 34",
251111,Halvad,33501,2,Halvad (M) - Ward No.2,
251081,Kalol,38046,2,Kalol (M) - Ward No.2,
251187,Nadiad,35071,7,Nadiad (M) - Ward No.7,
251213,Dabhoi,37005,5,Dabhoi (M) - Ward No.5,
253126,Vallabhipur,34815,5,Vallabhipur(M)-Ward No.5,
251254,Valsad,37117,9,Valsad (M) - Ward No.9,
251055,Palanpur,60014,8,Palanpur (M) - Ward No.8,
