Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name
249803,Dharmanagar Municipal Council,1200009,22,Ward No.22
249796,Udaipur Municipal Council,1522,1,Ward No.1
261689,Santirbazar Municipal Council,839129,1,Ward No.1
249785,Agartala Municipal Corporation,37155,3,Ward No.3
249784,Teliamura Municipal Council,68171,9,Ward No.9
249799,Sabroom Nagar Panchayat,69211,4,Ward No.4
249799,Sabroom Nagar Panchayat,69210,3,Ward No.3
249803,Dharmanagar Municipal Council,838746,10,Ward No.10
249785,Agartala Municipal Corporation,37160,8,Ward No.8
249802,Ambassa Municipal Council,376,4,Ward No.4
249799,Sabroom Nagar Panchayat,69214,7,Ward No.7
249785,Agartala Municipal Corporation,838658,26,Ward No.26
249805,Kumarghat Municipal Council,839106,11,Ward No.11
273718,Kamalpur Nagar Panchayat,1216853,9,Ward No. 9
249787,Sonamura Nagar Panchayat,1251,5,Ward No.5
249785,Agartala Municipal Corporation,1199976,44,Ward No.44
249785,Agartala Municipal Corporation,1199975,43,Ward No.43
249803,Dharmanagar Municipal Council,838739,4,Ward No.4
261688,Panisagar Nagar Panchayat,839114,8,Ward No.8
249796,Udaipur Municipal Council,838802,13,Ward No.13
249805,Kumarghat Municipal Council,1734,8,Ward No.8
261689,Santirbazar Municipal Council,1206737,13,Ward No.13
261689,Santirbazar Municipal Council,839133,6,Ward No.6
261687,Jirania Nagar Panchayat,839081,8,Ward No.8
261692,Mohanpur Municipal Council,838995,6,Ward No.6
249785,Agartala Municipal Corporation,37154,2,Ward No.2
261687,Jirania Nagar Panchayat,839074,1,Ward No.1
249804,Kailashahar Municipal Council,69660,7,Ward No.7
261688,Panisagar Nagar Panchayat,839107,1,Ward No.1
249785,Agartala Municipal Corporation,1199968,36,Ward No.36
261690,Bishalgarh Municipal Council,1296722,15,Ward No. 15
249786,Ranirbazar Municipal Council,1207176,13,Ward No.13
249787,Sonamura Nagar Panchayat,1249,3,Ward No.3
249802,Ambassa Municipal Council,1205733,13,Ward No.13
261687,Jirania Nagar Panchayat,839076,3,Ward No.3
261690,Bishalgarh Municipal Council,838716,4,Ward No.4
261690,Bishalgarh Municipal Council,838713,1,Ward No.1
249805,Kumarghat Municipal Council,1729,3,Ward No.3
249797,Amarpur Nagar Panchayat,1533,8,Ward No.8
249797,Amarpur Nagar Panchayat,838999,10,Ward No.10
261691,Melaghar Municipal Council,838771,2,Ward No.2
249799,Sabroom Nagar Panchayat,69212,5,Ward No.5
249796,Udaipur Municipal Council,1199988,21,Ward No.21
249785,Agartala Municipal Corporation,838642,32,Ward No.32
249785,Agartala Municipal Corporation,838663,31,Ward No.31
249798,Belonia Municipal Council,1542,8,Ward No.8
249804,Kailashahar Municipal Council,69657,4,Ward No.4
249785,Agartala Municipal Corporation,838640,30,Ward No.30
249804,Kailashahar Municipal Council,69655,2,Ward No.2
249796,Udaipur Municipal Council,1520,8,Ward No.8
249804,Kailashahar Municipal Council,69664,11,Ward No.11
249783,Khowai Municipal Council,37164,2,Ward No.2
249787,Sonamura Nagar Panchayat,839146,11,Ward No.11
249798,Belonia Municipal Council,1539,5,Ward No.5
249796,Udaipur Municipal Council,1519,7,Ward No.7
261692,Mohanpur Municipal Council,838794,11,Ward No.11
249785,Agartala Municipal Corporation,838644,21,Ward No.21
249783,Khowai Municipal Council,1226,5,Ward No.5
249798,Belonia Municipal Council,838707,13,Ward No.13
249785,Agartala Municipal Corporation,1245,16,Ward No.16
249798,Belonia Municipal Council,838703,10,Ward No.10
249804,Kailashahar Municipal Council,69659,6,Ward No.6
249805,Kumarghat Municipal Council,1732,6,Ward No.6
261691,Melaghar Municipal Council,838781,13,Ward No.13
249798,Belonia Municipal Council,1536,2,Ward No.2
249803,Dharmanagar Municipal Council,1200008,21,Ward No.21
249796,Udaipur Municipal Council,838809,11,Ward No.11
249785,Agartala Municipal Corporation,1199972,40,Ward No.40
249803,Dharmanagar Municipal Council,1200007,20,Ward No.20
249798,Belonia Municipal Council,1296719,14,Ward No. 14
249803,Dharmanagar Municipal Council,838747,11,Ward No.11
249786,Ranirbazar Municipal Council,69183,5,Ward No.5
249785,Agartala Municipal Corporation,838638,24,Ward No.24
261692,Mohanpur Municipal Council,838793,10,Ward No.10
249797,Amarpur Nagar Panchayat,1527,2,Ward No.2
