Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
263008,ROOPBAS,1305256,23,Roopwas (M) - Ward no. 23,
248650,Srikaranpur,1304232,21,Karanpur (M) - Ward No.21,
248710,Weir,1305772,23,Weir (M) - Ward No.23,
248651,Sri Ganganagar,65055,16,Ganganagar (M Cl) - Ward No.16,
248774,Abu Road,1305284,36,Abu Road (M) - Ward No.36,
293844,Greater Jaipur,1307612,67,Jaipur (M Corp.) (Part) - Ward No.67,
263007,ITAWA,1306081,4,Itawa (M) - Ward No.4,
248766,Barmer,20193,19,Barmer (M) - Ward No.19,
248728,Viratnagar,1305764,25,Viratnagar (M) - Ward No.25,
248778,Pali,20576,23,Pali (MCI) - Ward No.23,
277235,shahpura..(Bhilwara),1305573,16,Shahpura (M) - Ward No.16,
248699,Alwar,1303481,57,Alwar (M Cl) - Ward No.57,
248841,Nimbahera,1304650,40,Nimbahera (M) - Ward No.40,
248796,Niwai,1304661,26,Niwai (M) - Ward No.26,
248705,Deeg,62814,7,Deeg (M) - Ward No.7,
248768,Bhinmal,73730,17,Bhinmal (M) - Ward No.17,
248763,Jaisalmer,20136,2,Jaisalmer (M) - Ward No.2,
248728,Viratnagar,21392,3,Viratnagar (M) - Ward No.3,
248806,Bundi,73965,1,Bundi (M) - Ward No.1,
248667,Bikaner,1303279,71,Bikaner (M CI) - Ward No.71,
248708,Bharatpur,1303187,49,Bharatpur (M CI) - Ward No.49,
248739,Fatehpur,62962,13,Fatehpur (M) - Ward No.13,
248702,Kherli,62796,4,Kherli (M) - Ward No.4,
248740,Lachhmangarh,21656,24,Lachhmangarh (M) - Ward No.24,
248776,Sojat,73796,12,Sojat (M) - Ward No.12,
248742,Losal,1304464,34,Losal (M) - Ward No.34,
248841,Nimbahera,22406,28,Nimbahera (M) - Ward No.28,
248688,Surajgarh,19675,16,Surajgarh (M) - Ward No.16,
248758,Nawa,19144,15,Nawa (M) - Ward No.15,
248755,Parbatsar,18766,5,Parbatsar (M) - Ward No.5,
248660,Suratgarh,65293,14,Suratgarh (M) - Ward No.14,
248686,Vidyavihar,65762,11,Vidyavihar (M) - Ward No.11,
248716,Hindaun,1303870,60,Hindaun (M) - Ward No.60,
248653,Padampur,1304713,23,Padampur (M) - Ward No.23,
248822,Udaipur,70392,14,Udaipur (M CI) - Ward No.14,
248769,Sanchore,1305436,34,Sanchore (M) - Ward No.34,
248860,Chhabra,71584,8,Chhabra (M) - Ward No.8,
248739,Fatehpur,62970,21,Fatehpur (M) - Ward No.21,
248741,Sikar,21694,32,Sikar (M Cl) - Ward No.32,
248699,Alwar,62671,14,Alwar (M Cl) - Ward No.14,
248686,Vidyavihar,65759,8,Vidyavihar (M) - Ward No.8,
248851,Ramganj Mandi,1305034,32,Ramganj Mandi (M) - Ward No.32,
248802,Indragarh,1306077,20,Indragarh (M) - Ward No.20,
248783,Sumerpur,1305667,35,Sumerpur (M) - Ward No.35,
248806,Bundi,1303645,59,Bundi (M) - Ward No.59,
248809,Gulabpura,74016,17,Gulabpura (M) - Ward No.17,
248738,Ramgarh,1305055,33,Ramgarh (M) - Ward No.33,
248785,Bali,1305382,24,Bali (M) - Ward No.24,
248683,Jhunjhunun,1306587,39,Jhunjhunun (M) - Ward No.39,
248793,Kekri,1304248,37,Kekri (M) - Ward No.37,
248677,Rajaldesar,1305011,24,Rajaldesar (M) - Ward No.24,
248706,Nadbai,1304542,32,Nadbai (M) - Ward No.32,
248661,Sangaria,18329,23,Sangaria (M) - Ward No.23,
248842,Chhoti Sadri,1305878,24,Chhoti Sadri(M)- Ward No. 24,
248842,Chhoti Sadri,70768,13,Chhoti Sadri (M) - Ward No.13,
248687,Chirawa,62592,10,Chirawa (M) - Ward No.10,
